"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"118" 0.121 2.90160018 4.69760077 24.9878054 19.3645196 2.89840564 1.313691869 0.80434363 0.164516657
"119" 0.112 2.569009768 3.80955969 23.34901 18.4471887335 2.94994939 1.438022149 0.79227169 0.151973995
"120" 0.104 2.7979674 4.17634181 23.7511305 17.2248577 2.47906654 1.200349476 0.896519497 0.094518794
"121" 0.096 2.8923895 3.5203461 22.87897038 18.04276532 2.744423611 1.224405495 0.69926421 0.074005136
"122" 0.088 2.61047663 4.06760254 22.1742965 17.44984327 2.791557192 1.157981916 0.67127749 0.06336567
"123" 0.08 2.47913442 3.487047722 22.936896355 18.56317521 2.613794442 0.928758046 0.59488843 0.083402118
"124" 0.072 2.50005498 3.6569461 21.5202836 17.34260386 2.700078966 0.9749571184 0.720083015 0.049697505
"125" 0.064 2.63780972 3.593393099 20.9724653 15.80136141 2.238453045 0.8482968212 0.61234588 0.109367376
"126" 0.056 2.57643299 3.6676876 21.12453051 16.84230796 2.52797502 0.9864097257 0.54923566 0.191056683
"127" 0.048 2.02862116 3.04054002 21.203146 15.57149706 2.067639407 0.9307802506 0.51524411 0.086956749
"128" 0.041 2.662954475 3.14325756 20.8390320662 16.499914901 2.114038441 0.9545024598 0.50060239 0.068197471
"129" 0.033 2.1452199087 3.217632387 19.45243818 17.032489729 1.957259098 1.3974087148 0.44393242 0.036227258
"130" 0.026 2.56192748 2.76663805 21.651450318 16.0208729 1.8861862546 0.9568552248 0.373456807 0.064643036
"131" 0.018 2.54539353 3.03902414 19.36399346 15.92434592 2.0899184902 1.43413488065 0.367816311 0.056989003
"132" 0.011 2.47585116 2.614212911 19.93329334 14.85381522 2.100917019 1.15022881538 0.371922817 0.04800005
"133" 0.004 2.82200541 3.013299859 20.24663030851 16.57164231 2.406054342 1.01350441 0.3020123367 0.040506391
